Leap Product,Company ObjectId,Account Name,Tier,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,Starting Month,NAICS Code,Primary Classification,New Classifications,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Rough Months,Rough LTV,Consolidated Census Bands,Census Bands,Consolidated Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR,Account Last Visit,Account Usage Trending,SalesPro Visits Last 30 Days
Leap,82IVk5AAmn,A Christian Glass,Tier 2,SalesPro Team 2023,0011K000027S7Qd,6264,10/30/23,3/9/23,3,not found,Glass Products & Services,Design and Interior Services,11,84,924,0,"$5,834 ",33445,Delray Beach,FL,Colton Temanson,Colton Temanson,924,9,8316.0,50-249 employees,100-249 employees,7.5,,0,11,0,924,12/11/23,Increasing,1609
Leap,fdFd76zBX2,ABC Seamless,Tier 2,Premium 2019,0014100000EQQJU,1001,11/1/23,11/23/16,11,not found,Contractors - Siding,Construction and Renovation Services,20,34,680,10000,"$82,120 ",58103,Fargo,ND,Yesenia Romero,Yesenia Romero,680,85,57800.0,50-249 employees,100-249 employees,7.5,0,0,20,0,680,12/10/23,Decreasing,755
Leap,3vng2AJISE,ABC Seamless of Central Montana,Tier 2,Premium 2021,0014100001DKyQl,3225,10/30/23,12/30/21,12,not found,Contractors - Siding,Construction and Renovation Services,1,99,99,0,"$2,079 ",,,MT,Christopher Cielo,Christopher Cielo,99,24,2376.0,50-249 employees,100-249 employees,7.5,,0,1,0,99,10/9/23,No Change,0
Leap,1AoU4u2gcL,Alenco,Tier 3,Premium 2019,0014100001gNXMa,1318,10/19/23,7/19/18,7,not found,Glass Products & Services,Design and Interior Services,37,58.5,2164.5,2000,"$129,245 ",66219,Lenexa,Kansas,Yesenia Romero,Yesenia Romero,2164.5,65,140692.5,50-249 employees,100-249 employees,7.5,31,0,37,0,2164.5,12/10/23,Decreasing,3075
Leap,TLqAEs1QE0,Bath Experts,Tier 3,Premium 2020,0011K00002CUFFe,2723,10/10/23,11/10/20,11,not found,Contractors - Building,Construction and Renovation Services,46,105.5,4853,0,"$87,012 ",46268,Indianapolis,IN,Sydney Stansell,Sydney Stansell,4853,37,179561.0,50-249 employees,100-249 employees,7.5,5,0,46,0,4853,12/11/23,Decreasing,8205
Leap,PSuMRhfHeV,Bath Planet Chicagoland,Tier 3,Enterprise 2021,0014100001yRjxH,3571,10/31/23,8/31/22,8,not found,Contractors - Building,Construction and Renovation Services,119,74,8806,0,"$90,507 ",60107-2943,Streamwood,IL,Jordan Kahlenberg,Jordan Kahlenberg,8806,16,140896.0,50-249 employees,100-249 employees,7.5,13,0,119,0,8806,12/11/23,Decreasing,24957
Leap,IeNO4ECFhP,Beldon Roofing Company,Tier 2,Premium 2019,0014100000IAgpY,1031,11/1/23,1/30/17,1,238160,Contractors - Roofing,Construction and Renovation Services,30,38.5,1155,0,"$191,406 ",78213,San Antonio,TX,Francesca Furnells,Francesca Furnells,1155,83,95865.0,50-249 employees,100-249 employees,7.5,45,0,30,0,1155,12/11/23,Decreasing,973
Leap,sPO6I5xphL,Beltway Builders,Tier 3,Enterprise 2021,0011K000027TO7Q,3017,10/30/23,8/30/21,8,not found,Contractors - Building,Construction and Renovation Services,30,100,3000,0,"$78,000 ",21054,Gambrills,MD,Sydney Stansell,Sydney Stansell,3000,28,84000.0,50-249 employees,100-249 employees,7.5,30,0,30,0,3000,12/5/23,Decreasing,76
Leap,YTGBkk37qz,Custom Remodelers inc.,Tier 3,Premium 2019,0014100001PMem7,1415,11/6/23,12/6/18,12,not found,Contractors - Building,Construction and Renovation Services,4,85.5,342,1500,"$21,636 ",55014,Lino Lakes,MN,Christopher Cielo,Christopher Cielo,342,60,20520.0,50-249 employees,100-249 employees,7.5,40,0,4,0,342,1/0/00,No Change,0
Leap,OsINTiwQkE,"Custom Services Company, DBA ReBath Memphis",Tier 3,Premium 2020,0011K00002NEQkb,2712,10/29/23,10/29/20,10,not found,Contractors - Building,Construction and Renovation Services,1,55,55,1000,"$6,982 ",38122,Memphis,TN,Francesca Furnells,Francesca Furnells,55,38,2090.0,50-249 employees,100-249 employees,7.5,4,0,1,0,55,7/24/23,No Change,0
Leap,uQ6CCkF11x,DiGiorgi Roofing and Siding,Tier 3,Premium 2019,0014100001KVE27,1219,10/30/23,1/30/18,1,not found,Contractors - Roofing,Construction and Renovation Services,18,79.2,1425.6,2000,"$108,619 ",6403,Beacon Falls,CT,Jordan Kahlenberg,Jordan Kahlenberg,1425.6,71,101217.6,50-249 employees,100-249 employees,7.5,20,0,18,0,1425.6,12/9/23,Decreasing,211
Leap,Lwb9xDg0j6,Early Times Home Solutions,Tier 3,Premium 2019,0011K0000222lHE,1428,10/29/23,1/31/19,1,not found,Cleaning Services & Supplies,Specialized Home Services,1,88,88,2000,"$17,099 ",60126,Elmhurst,IL,Sydney Phillips,Sydney Phillips,88,59,5192.0,50-249 employees,100-249 employees,7.5,20,0,1,0,88,1/0/00,No Change,0
Leap,4VG7heDbOi,Express Sunrooms of Macon,Tier 3,Premium 2021,0011K00002H6Gc1,3200,10/30/23,12/16/21,12,not found,Engineers,Engineering and Technical Services,4,99,396,0,"$6,777 ",31052,Lizella,Georgia,Francesca Furnells,Francesca Furnells,396,24,9504.0,50-249 employees,100-249 employees,7.5,,0,4,0,396,12/7/23,Decreasing,106
Leap,h8O8gkWtou,Hoffman Weber Construction,Tier 2,Enterprise 2021,0011K00002WG3Kx,3552,10/31/23,8/30/22,8,not found,Contractors - Building,Construction and Renovation Services,20,95,1900,0,"$28,212 ",55432,Fridley,Minnesota,Yesenia Romero,Yesenia Romero,1900,16,30400.0,50-249 employees,100-249 employees,7.5,26,0,20,0,1900,11/29/23,Increasing,0
Leap,EtIPlTV7MD,Home Genius Exteriors - New Jersey,Tier 2,Enterprise 2021,0011K00002POl91,2911,10/29/23,4/29/21,4,not found,Contractors - Roofing,Construction and Renovation Services,1,88,88,0,"$33,064 ",,,NJ,Sydney Phillips,Sydney Phillips,88,32,2816.0,50-249 employees,100-249 employees,7.5,,0,1,0,88,1/0/00,No Change,0
Leap,NHDmPfjLRb,Home Genius Exteriors - Philadelphia,Tier 2,Enterprise 2021,0011K00002POl7Q,2907,10/29/23,4/29/21,4,not found,Contractors - Roofing,Construction and Renovation Services,43,88,3784,0,"$57,925 ",,,PA,Jordan Kahlenberg,Jordan Kahlenberg,3784,32,121088.0,50-249 employees,100-249 employees,7.5,,0,43,0,3784,12/11/23,Decreasing,7214
Leap,lGPRMwhDgP,Home Genius Exteriors - Pittsburgh,Tier 2,Enterprise 2021,0011K00002POl8S,2910,10/29/23,4/29/21,4,not found,Contractors - Roofing,Construction and Renovation Services,50,88,4400,0,"$65,558 ",,,PA,Jordan Kahlenberg,Jordan Kahlenberg,4400,32,140800.0,50-249 employees,100-249 employees,7.5,,0,50,0,4400,12/11/23,Decreasing,3604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leap,Thjde3lBFN,Jacuzzi,Tier 3,Premium 2020,0011K00002PQllM,2922,10/30/23,4/30/21,4,not found,,Other,140,74.25,10395,2250,"$155,208 ",,,AZ,Sydney Phillips,Sydney Phillips,10395,32,332640.0,50-249 employees,100-249 employees,7.5,,0,140,0,10395,12/11/23,Increasing,13649
Leap,uptLuLjESE,Kurtis Kitchen and Bath,Tier 3,Premium 2021,0011K00002WFOrG,3485,10/30/23,6/30/22,6,not found,Contractors - Building,Construction and Renovation Services,8,99,792,0,"$10,770 ",,,MI,Sydney Stansell,Sydney Stansell,792,18,14256.0,50-249 employees,100-249 employees,7.5,,0,8,0,792,12/10/23,Decreasing,710
Leap,eHLGJMAEXg,Legacy Restoration LLC,Tier 1,Enterprise 2021,0011K000027SvN6,3599,10/19/23,9/19/22,9,not found,Contractors - Roofing,Construction and Renovation Services,138,80,11040,0,"$91,832 ",55447,Plymouth,MN,Jordan Kahlenberg,Jordan Kahlenberg,11040,15,165600.0,50-249 employees,100-249 employees,7.5,175,0,138,0,11040,12/11/23,No Change,8986
Leap,s1jPB34hAD,Lifetime Quality Roofing,Tier 2,SalesPro Enterprise 2023,0011K00002U3Kv9,6360,10/27/23,3/27/23,3,238160,Contractors - Roofing,Construction and Renovation Services,7,125,875,1500,"$7,625 ",43220,Columbus,OH,Jordan Kahlenberg,Jordan Kahlenberg,875,9,7875.0,50-249 employees,100-249 employees,7.5,,0,7,0,875,10/3/23,No Change,0
Leap,5XlOmeNBQo,Long Home Products,Tier 1,Enterprise 2021,00141000019vgt9,3359,10/26/23,3/26/22,3,not found,Contractors - Roofing,Construction and Renovation Services,170,67.5,11475,0,"$187,912 ",20705,Beltsville,MD,Yesenia Romero,Yesenia Romero,11475,21,240975.0,50-249 employees,100-249 employees,7.5,130,0,170,0,11475,12/11/23,Decreasing,20883
Leap,jIBq3nDjJF,Master's Home Solutions,Tier 3,Enterprise 2021,0014100000NACh7,2924,11/4/23,5/4/21,5,not found,Contractors - Building,Construction and Renovation Services,33,105,3465,0,"$98,196 ",18052,Whitehall,PA,Yesenia Romero,Yesenia Romero,3465,31,107415.0,50-249 employees,100-249 employees,7.5,0,0,33,0,3465,12/10/23,Increasing,0
Leap,AmIPDZORFU,Max Home,Tier 3,Premium 2019,0014100000pgUaR,1146,10/11/23,10/11/17,10,not found,Contractors - Building,Construction and Renovation Services,62,55,3410,2000,"$258,612 ",70121,Jefferson,LA,Yesenia Romero,Yesenia Romero,3410,74,252340.0,50-249 employees,100-249 employees,7.5,43,0,62,0,3410,12/11/23,Decreasing,12056
Leap,JlfeFQn19y,Minnesota Rusco Inc,Tier 2,Enterprise 2021,0014100000ERFVE,6001,10/20/23,1/20/23,1,not found,Glass Products & Services,Design and Interior Services,55,68.75,3781.25,0,"$34,031 ",,New Hope,MN,Jordan Kahlenberg,Jordan Kahlenberg,3781.25,11,41593.8,50-249 employees,100-249 employees,7.5,21,0,55,0,3781.25,12/11/23,Increasing,6287
Leap,McdqmzAWu5,Modern Re-Bath (Lake Villa),Tier 3,Premium 2019,0011K00002EPZkN,2042,10/19/23,8/19/19,8,not found,Contractors - Building,Construction and Renovation Services,4,60.5,242,2000,"$12,448 ",,Lake Villa,IL,Christopher Cielo,Christopher Cielo,242,52,12584.0,50-249 employees,100-249 employees,7.5,5,0,4,0,242,12/11/23,Decreasing,1751
Leap,V2Idvs3tJy,New Bath Today,Tier 3,Enterprise 2021,0011K00002CUmNs,3544,10/18/23,8/18/22,8,not found,Contractors - Building,Construction and Renovation Services,116,75,8700,0,"$70,319 ",48083,Troy,MI,Jordan Kahlenberg,Jordan Kahlenberg,8700,16,139200.0,50-249 employees,100-249 employees,7.5,,0,116,0,8700,12/11/23,Decreasing,0
Leap,zuFhH9Q2Am,Next Day Gutters,Tier 2,Enterprise 2021,0011K00002POgiZ,3677,10/28/23,10/28/22,10,not found,Cleaning Services & Supplies,Specialized Home Services,10,112.5,1125,0,"$11,250 ",,,MD,Yesenia Romero,Yesenia Romero,1125,14,15750.0,50-249 employees,100-249 employees,7.5,,0,10,0,1125,12/8/23,Decreasing,453
Leap,n2tKGTOBEW,"Nu Look Home Design, Inc.",Tier 2,SalesPro Enterprise 2023,0014100000tHgKj,6553,10/30/23,4/30/23,4,not found,Contractors - Roofing,Construction and Renovation Services,37,68.7,2541.9,0,"$15,490 ",21076,Hanover,MD,Jordan Kahlenberg,Jordan Kahlenberg,2541.9,8,20335.2,50-249 employees,100-249 employees,7.5,,0,37,0,2541.9,12/11/23,Decreasing,2892
Leap,qEQWFKTccO,Pacific Coast Re-Bath,Tier 3,Premium 2019,0011K00002H4nY2,2270,10/23/23,1/23/20,1,not found,Contractors - Building,Construction and Renovation Services,7,60.5,423.5,2500,"$19,668 ",93036,Oxnard,CA,Francesca Furnells,Francesca Furnells,423.5,47,19904.5,50-249 employees,100-249 employees,7.5,5,0,7,0,423.5,12/9/23,Increasing,428
Leap,CcUZVm000a,Paradise Exteriors,Tier 2,Premium 2019,0014100000PDe14,1105,10/20/23,6/20/17,6,not found,Glass Products & Services,Design and Interior Services,37,55,2035,2500,"$154,963 ",33426,Boynton Beach,FL,Jordan Kahlenberg,Jordan Kahlenberg,2035,78,158730.0,50-249 employees,100-249 employees,7.5,20,0,37,0,2035,12/10/23,Increasing,3034
Leap,d3MCsu0hQN,Pome-Granite Inc,Tier 3,Premium 2021,0011K00002ERf37,2967,10/10/23,6/10/21,6,not found,Home Improvement & Remodeling Services,Construction and Renovation Services,13,70,910,0,"$24,802 ",,Grandville,MI,Sydney Stansell,Sydney Stansell,910,30,27300.0,50-249 employees,100-249 employees,7.5,8,0,13,0,910,12/9/23,Increasing,2023
Leap,pfqFzT4FDM,Re-Bath & More,Tier 3,Premium 2019,0014100001PNH7m,1898,10/21/23,5/21/19,5,not found,Contractors - Building,Construction and Renovation Services,22,105,2310,2500,"$106,283 ",17603,Lancaster,PA,Jordan Kahlenberg,Jordan Kahlenberg,2310,55,127050.0,50-249 employees,100-249 employees,7.5,5,0,22,0,2310,12/11/23,Increasing,5056
Leap,9u3oJnc58L,Re-Bath Chicago,Tier 3,Premium 2020,0011K00002J37rK,2510,11/7/23,5/7/20,5,not found,Contractors - Building,Construction and Renovation Services,11,60.5,665.5,0,"$22,574 ",,,IL,Sydney Stansell,Sydney Stansell,665.5,43,28616.5,50-249 employees,100-249 employees,7.5,2,0,11,0,665.5,12/11/23,Increasing,1397
Leap,A37NGCLyaU,Re-Bath of Alabama & Tennessee,Tier 3,Premium 2019,001410000211OXm,1400,10/13/23,11/13/18,11,not found,Contractors - Building,Construction and Renovation Services,17,55,935,2500,"$48,012 ",35216,Birmingham,AL,Francesca Furnells,Francesca Furnells,935,61,57035.0,50-249 employees,100-249 employees,7.5,1,0,17,0,935,12/11/23,Decreasing,1872
Leap,zLIqGqhyHx,Re-Bath of Knoxville,Tier 3,Premium 2020,0011K00002LT0zf,2656,10/21/23,8/21/20,8,not found,Contractors - Building,Construction and Renovation Services,6,65,390,1250,"$12,101 ",,,TN,Francesca Furnells,Francesca Furnells,390,40,15600.0,50-249 employees,100-249 employees,7.5,4,0,6,0,390,12/9/23,Increasing,602
Leap,z5GIFTotN5,Re-Bath of N. San Diego,Tier 3,Premium 2021,0011K00002Sk0Vl,3175,10/30/23,11/30/21,11,not found,Contractors - Building,Construction and Renovation Services,5,99,495,750,"$12,714 ",,,CA,Sydney Stansell,Sydney Stansell,495,25,12375.0,50-249 employees,100-249 employees,7.5,,0,5,0,495,12/11/23,Increasing,2959
Leap,NDvIZedYcF,Re-Bath of RI and Southern MA,Tier 3,Premium 2019,0014100000PC9Fh,1010,10/27/23,3/27/17,3,not found,Contractors - Building,Construction and Renovation Services,28,66,1848,2500,"$91,360 ",2919,Johnston,RI,Francesca Furnells,Francesca Furnells,1848,81,149688.0,50-249 employees,100-249 employees,7.5,7,0,28,0,1848,12/11/23,Decreasing,4785
Leap,lLlCC0E0BQ,Re-Bath of the Midlands,Tier 3,Enterprise 2021,0011K00002U3Wgv,3457,11/1/23,6/1/22,6,not found,Contractors - Building,Construction and Renovation Services,4,110,440,0,"$6,721 ",29209,Columbia,SC,Sydney Stansell,Sydney Stansell,440,18,7920.0,50-249 employees,100-249 employees,7.5,,0,4,0,440,11/30/23,Increasing,52
Leap,MYSdbdyKuA,Re-Bath of the Triad,Tier 3,Premium 2019,0011K0000223CmX,1421,10/21/23,12/21/18,12,not found,Contractors - Building,Construction and Renovation Services,8,55,440,2500,"$24,320 ",27408-4011,Greensboro,NC,Francesca Furnells,Francesca Furnells,440,60,26400.0,50-249 employees,100-249 employees,7.5,5,0,8,0,440,12/9/23,Decreasing,1488
Leap,B5wcSxDbbU,Re-Bath of Virginia,Tier 3,Enterprise 2021,0011K00002ZJpeZ,3640,11/7/23,10/7/22,10,not found,Contractors - Building,Construction and Renovation Services,3,99,297,500,"$3,527 ",20176,Leesburg,VA,Christopher Cielo,Christopher Cielo,297,14,4158.0,50-249 employees,100-249 employees,7.5,,0,3,0,297,12/9/23,Decreasing,1244
Leap,nHoY1Yauon,ReBath Fairfield County,Tier 3,Premium 2020,0011K00002H6JAp,2402,10/30/23,3/21/20,3,not found,Contractors - Building,Construction and Renovation Services,1,60.5,60.5,2000,"$5,700 ",,Fairfield,CT,Francesca Furnells,Francesca Furnells,60.5,45,2722.5,50-249 employees,100-249 employees,7.5,2,0,1,0,60.5,1/0/00,No Change,0
Leap,3KmLrDWt3E,Rebath Houston,Tier 3,Enterprise 2021,0011K00002H3yOq,3476,10/18/23,6/23/22,6,not found,Contractors - Building,Construction and Renovation Services,30,112.5,3375,0,"$42,932 ",,Houston,TX,Jordan Kahlenberg,Jordan Kahlenberg,3375,18,60750.0,50-249 employees,100-249 employees,7.5,3,0,30,0,3375,12/10/23,Decreasing,7871
Leap,jYAYs96CuK,ReBath of Sioux Falls,Tier 3,Premium 2020,0011K00002NF03F,2737,10/23/23,11/23/20,11,not found,Contractors - Building,Construction and Renovation Services,3,55,165,1500,"$7,335 ",,Souix Falls,SD,Francesca Furnells,Francesca Furnells,165,37,6105.0,50-249 employees,100-249 employees,7.5,,0,3,0,165,12/8/23,Increasing,116
